countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2025-12-13,SURVEY,8566013,0.720592602231254,7837681,0.6593236601674909,,,9683810,0.8146242595185926
HTI,Haiti,,national,,2025-12-12,SURVEY,8551448,0.7193673827352404,7812982,0.6572459237704014,,,9638202,0.8107875915414465
HTI,Haiti,,national,,2025-12-11,SURVEY,8522584,0.7169392677457649,7890709,0.6637844940192059,,,9701086,0.816077560763504
HTI,Haiti,,national,,2025-12-10,SURVEY,8451861,0.7109899006196382,7959179,0.6695443499433352,,,9780303,0.8227414939768103
HTI,Haiti,,national,,2025-12-09,SURVEY,8594037,0.7229500451962516,7933740,0.6674043515957993,,,9754801,0.8205962048433201
HTI,Haiti,,national,,2025-12-08,SURVEY,8698152,0.7317084496464172,8004842,0.6733856404407512,,,9922192,0.8346775227777712
HTI,Haiti,,national,,2025-12-07,SURVEY,8685195,0.7306184771577704,7947144,0.66853193820444,,,9953074,0.8372753453897889
HTI,Haiti,,national,,2025-12-06,SURVEY,8650114,0.7276673894100727,7943322,0.6682101473731642,,,9943833,0.8364978920844842
HTI,Haiti,,national,,2025-12-05,SURVEY,8593838,0.7229333172715844,7942041,0.6681026621675824,,,9959837,0.8378442860683515
HTI,Haiti,,national,,2025-12-04,SURVEY,8598013,0.723284527824961,7892616,0.6639449086407255,,,9972572,0.8389155748267043
HTI,Haiti,,national,,2025-12-03,SURVEY,8591903,0.7227705406438518,7820009,0.657837051089821,,,10010447,0.8421016911894246
HTI,Haiti,,national,,2025-12-02,SURVEY,8577933,0.72159536466466,7787090,0.6550677829594397,,,9983476,0.8398328375993435
HTI,Haiti,,national,,2025-12-01,SURVEY,8546722,0.7189698207959282,7670191,0.6452340181111922,,,9923341,0.8347741639690823
HTI,Haiti,,national,,2025-11-30,SURVEY,8593588,0.7229122929045476,7626091,0.6415242252000765,,,9951730,0.8371622884325589
HTI,Haiti,,national,,2025-11-29,SURVEY,8562629,0.7203079447780921,7710224,0.6486016856760606,,,9870583,0.8303360326914149
HTI,Haiti,,national,,2025-11-28,SURVEY,8608867,0.724197606681587,7681600,0.6461937692976529,,,9912858,0.8338923050635139
HTI,Haiti,,national,,2025-11-27,SURVEY,8614598,0.7246796928652246,7766030,0.6532962140932425,,,9968104,0.8385397390232507
HTI,Haiti,,national,,2025-11-26,SURVEY,8540352,0.7184339107450743,7760873,0.6528623490854446,,,9934745,0.8357334836663919
HTI,Haiti,,national,,2025-11-25,SURVEY,8578976,0.7216831011155586,7769325,0.6535733970329732,,,9883184,0.831396081270088
HTI,Haiti,,national,,2025-11-24,SURVEY,8391525,0.7059142696243126,7735801,0.6507532814422194,,,9880254,0.831149551200454
HTI,Haiti,,national,,2025-11-23,SURVEY,8425699,0.7087890737664251,7700516,0.6477850265018856,,,9872660,0.8305107383586058
HTI,Haiti,,national,,2025-11-22,SURVEY,8244695,0.6935626062141789,7584108,0.6379925191731519,,,9897278,0.8325816844734694
HTI,Haiti,,national,,2025-11-21,SURVEY,8185778,0.6886063733795719,7517758,0.6324110053488315,,,9897524,0.8326024118858372
HTI,Haiti,,national,,2025-11-20,SURVEY,8201214,0.6899049027802989,7561104,0.6360573700546189,,,9912789,0.8338864934599968
HTI,Haiti,,national,,2025-11-19,SURVEY,8218362,0.6913474199417108,7542021,0.6344520644282511,,,9799774,0.8243794078797346
HTI,Haiti,,national,,2025-11-18,SURVEY,8268073,0.6955292260150454,7550427,0.6351591963831454,,,9751242,0.8202967850127972
HTI,Haiti,,national,,2025-11-17,SURVEY,8257400,0.6946313858438802,7559211,0.6358981265629922,,,9767708,0.8216819367664385
HTI,Haiti,,national,,2025-11-16,SURVEY,8249543,0.6939704370223897,7504637,0.6313072368049144,,,9747820,0.8200089178684955
HTI,Haiti,,national,,2025-11-15,SURVEY,8253888,0.6943359453864645,7504147,0.6312660168836798,,,9733403,0.8187961191369598
HTI,Haiti,,national,,2025-11-14,SURVEY,8281011,0.6966175852412463,7350917,0.6183759586575968,,,9750714,0.8202523265337558
HTI,Haiti,,national,,2025-11-13,SURVEY,8199213,0.689736553357013,7371953,0.6201455551128854,,,9795458,0.8240163420336039
HTI,Haiti,,national,,2025-11-12,SURVEY,8175717,0.6877600337995248,7355898,0.6187949717752899,,,9780699,0.822774760972063
HTI,Haiti,,national,,2025-11-11,SURVEY,8170995,0.6873628083476653,7261044,0.61081563624715,,,9718321,0.8175274086841843
HTI,Haiti,,national,,2025-11-10,SURVEY,8275224,0.6961307410381457,7085888,0.59608111272925,,,9655761,0.8122647240472141
HTI,Haiti,,national,,2025-11-09,SURVEY,8219154,0.6914140418269477,7048455,0.5929321631137898,,,9672601,0.8136813542928865
HTI,Haiti,,national,,2025-11-08,SURVEY,8241208,0.6932692777469508,7162566,0.6025314415464503,,,9588651,0.8066192478774624
HTI,Haiti,,national,,2025-11-07,SURVEY,8293233,0.6976457308288784,7111266,0.5982159424865149,,,9562616,0.8044291629379565
HTI,Haiti,,national,,2025-11-06,SURVEY,8246340,0.6937009903548748,7001579,0.5889888467305368,,,9511294,0.8001118046398402
HTI,Haiti,,national,,2025-11-05,SURVEY,8291048,0.6974619296172369,7021460,0.5906612819429153,,,9445490,0.7945761997409247
